record_id,station_id,user_name,start_time,end_time,duration_h,energy_kwh,unit_price,service_fee,cost,finished,payment_method
1,793,李四,2024-11-18 05:40:00,2024-11-18 13:40:00,8.00,337.12,0.85,0.36,407.92,1,校园一卡通
2,947,钱七,2024-11-20 07:49:00,2024-11-20 14:49:00,7.00,188.16,1.42,0.54,368.79,1,校园一卡通
3,617,孙八,2025-05-28 05:25:00,2025-05-28 07:25:00,2.20,227.81,1.14,0.51,375.89,1,银行卡
4,451,黄明,2024-08-24 09:27:00,2024-08-24 10:27:00,1.00,31.02,1.06,0.64,52.73,1,银行卡
5,173,朱磊,2024-08-03 20:23:00,2024-08-03 03:23:00,7.40,202.46,0.98,0.54,307.75,1,支付宝
6,802,周九,2025-10-10 16:33:00,2025-10-10 18:33:00,2.20,371.32,1.19,0.45,608.96,1,支付宝
7,325,郭伟,2024-08-05 07:34:00,2024-08-05 10:34:00,3.50,138.60,1.36,0.38,241.16,1,银行卡
8,490,林小,2024-07-09 01:50:00,2024-07-09 04:50:00,3.70,354.98,1.35,0.40,621.21,1,支付宝
9,576,李四,2024-12-15 03:35:00,2024-12-15 06:35:00,3.40,145.04,1.07,0.50,227.72,1,银行卡
10,756,吴十,2025-09-15 10:41:00,2025-09-15 12:41:00,2.70,292.57,1.02,0.42,421.30,1,校园一卡通
11,89,王五,2025-09-10 02:59:00,2025-09-10 07:59:00,5.30,576.64,1.16,0.58,1003.35,1,校园一卡通
12,958,林小,2025-05-09 23:28:00,2025-05-09 23:28:00,0.90,121.36,1.36,0.40,213.60,1,微信
13,639,王二,2025-11-11 23:47:00,2025-11-11 02:47:00,3.10,411.96,1.22,0.50,708.57,1,微信
14,92,杨帆,2025-07-21 15:44:00,2025-07-21 23:44:00,8.20,395.57,1.32,0.51,723.89,1,校园一卡通
15,76,胡涛,2024-12-10 05:41:00,2024-12-10 05:41:00,0.50,43.24,1.22,0.45,72.22,1,银行卡
16,297,赵六,2025-06-20 22:07:00,2025-06-20 01:07:00,3.90,212.78,1.45,0.40,393.65,1,支付宝
17,608,刘强,2025-07-13 22:17:00,2025-07-13 02:17:00,4.40,140.01,1.23,0.68,267.42,1,银行卡
18,581,郭伟,2024-02-19 12:55:00,2024-02-19 19:55:00,7.40,314.94,0.97,0.59,491.31,1,支付宝
19,151,杨帆,2024-04-10 11:37:00,2024-04-10 19:37:00,8.10,1006.99,1.14,0.55,1701.82,1,微信
20,752,郭伟,2024-02-16 06:57:00,2024-02-16 10:57:00,4.90,384.99,0.93,0.32,481.24,1,支付宝
21,8,张三,2025-10-12 23:49:00,2025-10-12 04:49:00,5.60,748.33,0.82,0.35,875.54,1,银行卡
22,247,钱七,2025-12-05 19:22:00,2025-12-05 23:22:00,4.00,520.80,1.44,0.58,1052.02,1,微信
23,990,孙八,2024-12-17 08:03:00,2024-12-17 15:03:00,7.30,901.84,1.51,0.52,1830.74,1,支付宝
24,94,周九,2025-06-01 09:44:00,2025-06-01 16:44:00,7.60,177.54,1.19,0.63,323.12,1,支付宝
25,876,陈大,2025-04-11 09:45:00,2025-04-11 11:45:00,2.40,240.67,1.00,0.45,348.97,1,银行卡
26,671,郭伟,2024-12-01 01:31:00,2024-12-01 06:31:00,5.30,245.92,1.36,0.35,420.52,1,微信
27,741,张三,2025-05-21 01:52:00,2025-05-21 07:52:00,6.80,1079.57,1.06,0.61,1802.88,1,微信
28,58,陈大,2024-07-24 16:05:00,2024-07-24 19:05:00,3.50,470.68,0.81,0.52,626.00,1,校园一卡通
29,858,何勇,2024-11-08 00:24:00,2024-11-08 03:24:00,3.40,362.10,1.22,0.44,601.09,1,支付宝
30,173,黄明,2025-04-17 23:55:00,2025-04-17 03:55:00,4.40,699.95,1.15,0.54,1182.92,1,微信
31,159,吴十,2025-08-02 11:01:00,2025-08-02 12:01:00,1.00,28.47,1.26,0.38,46.69,1,校园一卡通
32,646,王五,2024-05-09 05:42:00,2024-05-09 07:42:00,2.10,126.08,1.43,0.64,260.99,1,微信
33,167,孙八,2024-05-21 21:50:00,2024-05-21 22:50:00,1.80,142.13,1.15,0.31,207.51,1,支付宝
34,6,林小,2024-06-21 18:31:00,2024-06-21 19:31:00,1.50,240.24,1.12,0.46,379.58,1,校园一卡通
35,247,赵六,2025-06-08 17:11:00,2025-06-08 00:11:00,7.30,876.88,0.91,0.64,1359.16,1,银行卡
36,600,赵六,2025-11-14 23:07:00,2025-11-14 04:07:00,5.10,838.95,0.90,0.32,1023.52,1,银行卡
37,641,杨帆,2024-11-27 05:20:00,2024-11-27 12:20:00,7.00,338.10,1.13,0.48,544.34,1,支付宝
38,498,刘强,2024-05-16 21:53:00,2024-05-16 05:53:00,8.10,469.48,1.46,0.43,887.31,1,支付宝
39,265,周九,2025-07-20 09:27:00,2025-07-20 10:27:00,1.80,192.51,1.09,0.54,313.79,1,银行卡
40,898,朱磊,2024-07-20 03:31:00,2024-07-20 03:31:00,0.50,70.95,1.59,0.38,139.77,1,银行卡
41,589,赵六,2025-09-13 15:06:00,2025-09-13 21:06:00,6.80,1144.44,1.38,0.54,2197.32,1,银行卡
42,205,刘强,2024-07-09 20:34:00,2024-07-09 00:34:00,4.30,358.71,0.97,0.31,459.14,1,支付宝
43,720,孙八,2025-08-23 05:26:00,2025-08-23 06:26:00,1.20,104.28,1.16,0.50,173.10,1,支付宝
44,348,孙八,2025-09-03 08:53:00,2025-09-03 11:53:00,3.70,351.72,1.12,0.30,499.45,1,支付宝
45,271,钱七,2024-03-16 17:43:00,2024-03-16 01:43:00,8.10,1310.74,0.86,0.43,1690.86,1,微信
46,16,李四,2024-11-17 01:01:00,2024-11-17 06:01:00,5.80,330.48,1.35,0.42,584.96,1,银行卡
47,800,胡涛,2024-03-13 04:45:00,2024-03-13 07:45:00,3.00,311.64,1.16,0.39,483.04,1,银行卡
48,343,林小,2024-05-25 01:20:00,2024-05-25 09:20:00,8.10,883.39,0.80,0.59,1227.91,0,支付宝
49,783,孙八,2024-08-26 18:14:00,2024-08-26 18:14:00,0.90,41.04,1.01,0.37,56.64,1,支付宝
50,423,陈大,2025-02-09 17:35:00,2025-02-09 21:35:00,4.50,628.16,0.82,0.40,766.35,1,支付宝
51,394,周九,2024-05-05 16:04:00,2024-05-05 19:04:00,3.80,251.64,1.17,0.46,410.17,1,微信
52,346,何勇,2024-04-10 05:56:00,2024-04-10 06:56:00,1.10,84.22,0.89,0.58,123.80,1,校园一卡通
53,880,林小,2024-03-09 07:09:00,2024-03-09 09:09:00,2.90,422.53,1.21,0.30,638.02,1,校园一卡通
54,818,王二,2024-04-27 14:39:00,2024-04-27 21:39:00,7.40,1086.91,1.02,0.64,1804.27,1,校园一卡通
55,885,胡涛,2024-03-16 23:36:00,2024-03-16 04:36:00,5.50,212.96,1.14,0.36,319.44,1,微信
56,71,陈大,2025-10-10 07:20:00,2025-10-10 12:20:00,5.80,756.90,0.88,0.51,1052.09,0,微信
57,57,张三,2024-04-15 08:11:00,2024-04-15 12:11:00,4.60,264.04,1.34,0.30,433.03,1,微信
58,262,何勇,2025-07-15 21:14:00,2025-07-15 01:14:00,4.00,496.32,1.54,0.69,1106.79,1,银行卡
59,586,王二,2025-04-10 21:07:00,2025-04-10 23:07:00,2.00,108.04,1.07,0.64,184.75,1,银行卡
60,693,郑一,2025-07-04 08:10:00,2025-07-04 12:10:00,4.00,570.72,1.41,0.45,1061.54,1,银行卡
61,102,李四,2025-01-06 09:43:00,2025-01-06 15:43:00,6.80,333.20,1.35,0.54,629.75,1,校园一卡通
62,972,王五,2025-04-10 07:10:00,2025-04-10 15:10:00,8.30,1248.98,1.04,0.30,1673.64,1,校园一卡通
63,493,孙八,2025-03-09 07:29:00,2025-03-09 09:29:00,2.50,145.25,0.85,0.39,180.11,1,银行卡
64,221,何勇,2024-11-28 19:19:00,2024-11-28 00:19:00,5.10,306.20,1.58,0.57,658.34,1,校园一卡通
65,830,孙八,2024-04-08 12:53:00,2024-04-08 16:53:00,4.30,135.62,0.89,0.37,170.88,1,银行卡
66,671,周九,2025-11-04 17:36:00,2025-11-04 21:36:00,4.50,282.15,0.95,0.48,403.47,1,校园一卡通
67,529,钱七,2025-08-15 15:07:00,2025-08-15 19:07:00,4.90,815.26,1.03,0.66,1377.79,1,支付宝
